Participant_id	Function_1	Function_2	Function_3
1	2	1	4
2	2	2	2
3	4	3	2
4	4	3	4
5	1	1	1
6	2	3	3
7	4	5	4
8	2	2	2
9	4	4	4
10	4	3	1
11	4	4	4
12	2	3	4
13	5	4	5
14	4	4	4
15	3	3	3
16	2	3	2
17	3	3	3
18	4	4	4
19	4	5	5
20	4	3	4
21	3	4	4
22	2	1	1
23	4	3	4
24	2	2	3
25	3	3	3
26	4	4	4
27	3	1	2
28	3	3	3
29	1	2	1
30	2	3	4
31	4	4	4
32	1	1	1
33	5	5	3
34	4	4	4
35	4	5	4
36	4	3	3
37	3	4	4
38	3	4	4
39	3	3	4
40	4	4	4
41	4	4	4
42	2	2	2
43	2	2	3
44	3	4	3
45	4	3	2
46	3	1	3
47	5	5	5
48	4	4	4
49	5	5	5
50	3	1	3
51	5	5	5
52	4	3	3
53	1	2	3
54	1	2	2
55	4	4	4
56	3	1	4
57	4	4	1
58	2	3	1
59	3	2	2
60	5	5	5
61	2	2	2
62	3	2	2
63	3	2	4
64	3	3	3
65	3	2	2
66	4	4	4
67	2	2	2
68	5	5	4
69	3	3	3
70	1	1	1
71	5	4	4
72	2	4	2
73	3	3	2
74	4	3	4
75	3	3	3
76	4	4	5
77	3	3	3
78	3	3	3
79	3	2	4
80	2	3	4
81	5	5	5
82	4	4	4
83	1	1	1
84	2	4	3
85	4	4	2
86	3	1	2
87	4	3	4
88	1	3	1
89	1	1	1
90	5	5	5
91	1	5	5
92	2	2	2
93	1	1	1
94	4	1	1
95	1	5	2
96	5	3	1
97	4	4	4
98	5	5	5
99	4	1	2
100	3	3	4
101	2	2	2
102	5	5	5
103	3	3	4
104	4	1	5
105	5	2	1
106	4	4	2
107	1	1	2
108	4	2	4
109	4	1	1
110	3	1	4
111	1	1	1
112	1	1	1
113	4	4	4
114	5	1	1
115	3	1	3
116	1	1	1
117	4	3	3
118	1	1	1
119	5	1	2
120	2	1	1
121	4	1	1
122	4	4	5
123	5	2	4
124	4	4	4
125	2	3	4
126	3	4	4
127	3	2	3
128	5	4	5
129	4	3	5
130	4	4	4
131	1	1	2
132	4	3	4
133	1	2	2
134	3	3	4
135	4	1	4
136	3	3	3
137	1	4	1
138	4	2	4
139	4	1	4
140	4	4	4
141	2	2	4
142	4	4	4
143	3	4	5
144	4	3	4
145	3	3	3
146	1	1	4
147	2	4	2
148	3	2	4
149	3	3	4
150	5	3	5
151	4	4	3
152	4	2	4
153	4	4	4
154	1	1	1
155	4	4	4
156	5	4	5
157	3	5	2
158	4	4	4
159	3	2	4
160	4	2	2
161	4	2	4
162	3	1	1
163	5	5	5
164	3	3	3
165	1	1	2
166	2	2	2
167	4	3	4
168	4	4	5
169	1	1	1
170	4	4	5
171	1	1	1
172	4	3	2
173	1	2	1
174	5	5	4
175	3	2	2
176	1	2	1
177	3	2	3
178	1	3	1
179	4	4	5
180	4	4	4
181	2	3	1
182	4	4	4
183	1	1	3
184	4	3	4
185	3	3	3
186	2	3	2
187	2	2	2
188	2	1	4
189	3	3	4
190	4	4	3
191	4	3	1
192	4	4	3
193	2	2	2
194	1	1	3
195	3	3	3
196	4	2	3
197	4	4	4
198	5	5	5
199	5	5	5
200	4	4	4
201	3	3	4
202	5	5	5
203	1	1	1
204	4	5	4
205	2	2	1
206	2	1	1
207	2	2	2
208	1	1	3
209	4	2	5
210	5	5	5
211	4	4	3
212	1	1	1
213	4	2	3
214	3	1	3
215	4	4	3
216	3	4	4
217	2	2	4
218	4	4	4
219	4	2	2
220	4	2	3
221	2	2	2
222	1	1	4
223	3	3	3
224	4	4	4
225	5	5	5
226	3	5	5
227	2	1	3
228	1	1	1
229	2	2	2
230	3	5	3
231	4	3	2
232	1	1	1
233	4	3	1
234	4	2	4
235	3	3	3
236	4	4	5
237	3	3	4
238	4	4	4
239	2	3	3
240	4	4	5
241	1	2	1
242	4	3	3
243	5	1	5
244	4	4	4
245	3	3	3
246	4	2	3
247	3	3	4
248	5	4	5
249	4	2	4
250	3	3	3
251	3	3	5
252	1	1	2
253	4	1	2
254	2	1	2
255	4	2	4
256	3	4	3
257	5	3	4
258	3	2	3
259	1	1	1
260	1	1	1
261	4	5	5
262	4	1	4
263	4	3	4
264	4	2	4
265	4	4	4
266	4	3	5
267	4	4	2
268	1	1	1
269	3	3	4
270	4	4	4
271	2	2	2
272	3	3	3
273	4	4	4
274	4	3	4
275	1	1	1
276	3	3	4
277	4	3	4
278	4	4	4
279	3	3	3
280	5	5	4
281	3	2	1
282	3	4	3
283	2	2	2
284	4	1	4
285	3	3	3
286	4	4	2
287	3	3	1
288	5	1	1
289	4	3	4
290	2	4	2
291	2	2	2
292	5	2	5
293	4	2	4
294	4	4	4
295	2	2	4
296	2	2	1
297	4	2	4
298	1	2	1
299	2	1	1
300	3	3	3
301	1	3	1
302	3	2	2
